Año,Trimestre,Provincia,Tot_Vel_Media_DL_Trim_x_Prov,Tot_Acc_ADSL_x_Prov,Tot_Acc_CaModem_x_Prov,Tot_Acc_FO_x_Prov,Tot_Acc_Wireless_x_Prov,Tot_Acc_Otros_x_Prov,Tot_Acc_x_Prov,Tot_pntrcion_x_c100_Habi_x_Prov,Tot_pntrcion_x_c100_Hoga_x_Prov,Tot_Acc_rango_0->512_kbps_x_Prov,Tot_Acc_rango_0.512->1_Mbps_x_Prov,Tot_Acc_rango_1->6_Mbps_x_Prov,Tot_Acc_rango_6->10_Mbps_x_Prov,Tot_Acc_rango_10->20_Mbps_x_Prov,Tot_Acc_rango_20->30_Mbps_x_Prov,Tot_Acc_rango_>30_Mbps_x_Prov,Tot_Acc_rango_Otros_Mbps_x_Prov,Tot_Acc_rango_Mbps_x_Prov
2014,3,Tucuman,3.34989752676935,131739.0,97.0,117.0,13.0,100.0,132066.0,8.38167843005843,33.9437558222181,6.0,32716.0,84668.0,14101.0,559.0,4.0,0.0,0.0,132054.0
2014,4,Buenos Aires,4.19894350823666,1575978.0,1070135.0,120528.0,17728.0,32038.0,2816407.0,17.0147634301905,56.0943365301975,8226.0,132937.2,2250445.44,203620.2,104322.12,996.96,5406.0,0.0,2705953.92
2014,4,Capital Federal,4.78178771127556,455785.0,840224.0,17155.0,1962.0,15394.0,1330520.0,43.6046206766365,114.896765508016,2698.0,62895.8,1038268.56,123450.8,95771.88,890.04,7997.0,0.0,1331972.08
2014,4,Catamarca,3.33600533479779,25192.0,241.0,16.0,0.0,44.0,25493.0,6.45925498005949,25.513779082748,21.0,8047.0,14093.0,2910.0,421.0,0.0,1.0,0.0,25493.0
2014,4,Chaco,3.97740036330609,55024.0,10918.0,31.0,0.0,62.0,66035.0,5.81368220415458,21.8707832002322,483.0,12837.0,42106.0,7908.0,2600.0,124.0,2.0,0.0,66060.0
2014,4,Chubut,3.17464915813126,48539.0,697.0,891.0,12256.0,6159.0,68542.0,12.2235557846192,40.2492746845027,1858.0,6218.0,60392.0,70.0,0.0,0.0,0.0,0.0,68538.0
2014,4,Cordoba,4.09290306218457,345157.0,240452.0,419.0,3918.0,486.0,590432.0,16.6557073313017,54.696896793323,1903.0,85362.0,427844.0,41947.0,30858.0,1177.0,782.0,0.0,589873.0
2014,4,Corrientes,3.8061123116725,54754.0,9526.0,40.0,1315.0,75.0,65710.0,6.17465506597043,23.5624309927751,40.0,13860.0,42182.0,7513.0,2106.0,0.0,9.0,0.0,65710.0
2014,4,Entre Rios,3.80005178711007,112291.0,23027.0,57.0,5178.0,260.0,140813.0,10.7183280951834,36.0254708519679,2311.0,27801.0,88649.0,18318.0,3584.0,1.0,66.0,0.0,140730.0
2014,4,Formosa,3.02332661782662,21245.0,4896.0,1.0,0.0,65.0,26207.0,4.5491629692892,17.9563113616952,1947.0,7830.0,14058.0,1852.0,473.0,47.0,1.0,0.0,26208.0
2014,4,Jujuy,3.12764210819079,31349.0,4583.0,22.0,37.0,11.0,36002.0,4.98200351211736,19.5994181805212,1880.0,10427.0,19740.0,3443.0,465.0,0.0,0.0,0.0,35955.0
2014,4,La Pampa,2.7542087306377,16043.0,34281.0,514.0,5894.0,648.0,57380.0,16.8165246239874,51.2731334522286,6266.0,6879.0,36520.0,26.0,5.0,4.0,10.0,0.0,49710.0
2014,4,La Rioja,3.58202389952445,16352.0,0.0,17.0,0.0,33.0,16402.0,4.49690190272523,17.0107508872361,9.0,4333.0,9728.0,1943.0,386.0,0.0,3.0,0.0,16402.0
2014,4,Mendoza,3.49876776859991,151797.0,13030.0,2534.0,31.0,2222.0,169614.0,9.05637770520934,32.6383818761503,303.0,19.0,169222.0,36.0,14.0,5.0,12.0,0.0,169611.0
2014,4,Misiones,4.02561996141346,58435.0,18613.0,16.0,150.0,15.0,77229.0,6.54066222204155,24.1624306055883,547.0,11840.0,53093.0,8731.0,2952.0,54.0,12.0,0.0,77229.0
2014,4,Neuquen,3.85077258259739,47721.0,31778.0,1014.0,11853.0,3030.0,95396.0,15.5286641207705,52.5549896972496,1731.0,2744.0,80938.0,126.0,3621.0,2.0,66.0,0.0,89228.0
2014,4,Rio Negro,3.54312925425425,66307.0,23703.0,901.0,3819.0,1530.0,96260.0,13.8895301858479,45.478062751204,3640.0,4723.0,85094.0,94.0,2319.0,4.0,30.0,0.0,95904.0
2014,4,Salta,3.86225943150255,76026.0,17289.0,48.0,6.0,578.0,93947.0,7.10378588301479,29.534861619578,54.0,16214.0,63221.0,12552.0,1922.0,0.0,4.0,0.0,93967.0
2014,4,San Juan,3.47522016922811,48653.0,451.0,740.0,1202.0,1073.0,52119.0,7.10096175461973,28.0371457145607,11.0,478.0,51628.0,0.0,0.0,0.0,2.0,0.0,52119.0
2014,4,San Luis,3.50362120635887,11419.0,926.0,355.0,24.0,423.0,13147.0,2.7819569555272,9.7863933663512,9.0,0.0,13135.0,0.0,0.0,1.0,2.0,0.0,13147.0
2014,4,Santa Cruz,3.33302618371396,17553.0,448.0,388.0,4395.0,2929.0,25713.0,8.15757414246012,27.8026789696523,156.0,1400.0,24145.0,1.0,1.0,0.0,0.0,0.0,25703.0
2014,4,Santa Fe,3.78070786071651,335267.0,183009.0,3205.0,6282.0,1634.0,529397.0,15.6575328569008,49.9996230234827,8707.0,99962.0,359293.0,36718.0,21098.0,869.0,824.0,0.0,527471.0
2014,4,Santiago Del Estero,3.45822447265973,34110.0,4231.0,19.0,920.0,37.0,39317.0,4.26296198713424,17.2692015836451,1246.0,8913.0,24181.0,4359.0,602.0,0.0,0.0,0.0,39301.0
2014,4,Tierra Del Fuego,3.47472446989241,21948.0,3664.0,655.0,1.0,2722.0,28990.0,19.3418822807275,66.1378194733832,12.0,283.0,31489.0,2.0,0.0,0.0,0.0,0.0,31786.0
2014,4,Tucuman,3.86061231024495,137093.0,97.0,116.0,13.0,105.0,137424.0,8.69321535229523,35.3208751693282,17.0,28746.0,85091.0,20631.0,2733.0,196.0,0.0,0.0,137414.0
